ZCTA,FIPS,STATE_ABBR,STATE_NAME,Region
02152,25,MA,Massachusetts,Northeast
02155,25,MA,Massachusetts,Northeast
02163,25,MA,Massachusetts,Northeast
02169,25,MA,Massachusetts,Northeast
02170,25,MA,Massachusetts,Northeast
02171,25,MA,Massachusetts,Northeast
02176,25,MA,Massachusetts,Northeast
02180,25,MA,Massachusetts,Northeast
02184,25,MA,Massachusetts,Northeast
02186,25,MA,Massachusetts,Northeast
02188,25,MA,Massachusetts,Northeast
02189,25,MA,Massachusetts,Northeast
02190,25,MA,Massachusetts,Northeast
02191,25,MA,Massachusetts,Northeast
02199,25,MA,Massachusetts,Northeast
02203,25,MA,Massachusetts,Northeast
02210,25,MA,Massachusetts,Northeast
02215,25,MA,Massachusetts,Northeast
02301,25,MA,Massachusetts,Northeast
02302,25,MA,Massachusetts,Northeast
02322,25,MA,Massachusetts,Northeast
02324,25,MA,Massachusetts,Northeast
02330,25,MA,Massachusetts,Northeast
02332,25,MA,Massachusetts,Northeast
02333,25,MA,Massachusetts,Northeast
02338,25,MA,Massachusetts,Northeast
02339,25,MA,Massachusetts,Northeast
02341,25,MA,Massachusetts,Northeast
02343,25,MA,Massachusetts,Northeast
02346,25,MA,Massachusetts,Northeast
02347,25,MA,Massachusetts,Northeast
02351,25,MA,Massachusetts,Northeast
02356,25,MA,Massachusetts,Northeast
02357,25,MA,Massachusetts,Northeast
02359,25,MA,Massachusetts,Northeast
02360,25,MA,Massachusetts,Northeast
02364,25,MA,Massachusetts,Northeast
02366,25,MA,Massachusetts,Northeast
02367,25,MA,Massachusetts,Northeast
02368,25,MA,Massachusetts,Northeast
02370,25,MA,Massachusetts,Northeast
02375,25,MA,Massachusetts,Northeast
02379,25,MA,Massachusetts,Northeast
02382,25,MA,Massachusetts,Northeast
02420,25,MA,Massachusetts,Northeast
02421,25,MA,Massachusetts,Northeast
02445,25,MA,Massachusetts,Northeast
02446,25,MA,Massachusetts,Northeast
02451,25,MA,Massachusetts,Northeast
02452,25,MA,Massachusetts,Northeast
02453,25,MA,Massachusetts,Northeast
02457,25,MA,Massachusetts,Northeast
02458,25,MA,Massachusetts,Northeast
02459,25,MA,Massachusetts,Northeast
02460,25,MA,Massachusetts,Northeast
02461,25,MA,Massachusetts,Northeast
02462,25,MA,Massachusetts,Northeast
02464,25,MA,Massachusetts,Northeast
02465,25,MA,Massachusetts,Northeast
02466,25,MA,Massachusetts,Northeast
02467,25,MA,Massachusetts,Northeast
02468,25,MA,Massachusetts,Northeast
02472,25,MA,Massachusetts,Northeast
02474,25,MA,Massachusetts,Northeast
02476,25,MA,Massachusetts,Northeast
02478,25,MA,Massachusetts,Northeast
02481,25,MA,Massachusetts,Northeast
02482,25,MA,Massachusetts,Northeast
02492,25,MA,Massachusetts,Northeast
02493,25,MA,Massachusetts,Northeast
02494,25,MA,Massachusetts,Northeast
02532,25,MA,Massachusetts,Northeast
02534,25,MA,Massachusetts,Northeast
02535,25,MA,Massachusetts,Northeast
02536,25,MA,Massachusetts,Northeast
02537,25,MA,Massachusetts,Northeast
02538,25,MA,Massachusetts,Northeast
02539,25,MA,Massachusetts,Northeast
02540,25,MA,Massachusetts,Northeast
02542,25,MA,Massachusetts,Northeast
02543,25,MA,Massachusetts,Northeast
02553,25,MA,Massachusetts,Northeast
02554,25,MA,Massachusetts,Northeast
02556,25,MA,Massachusetts,Northeast
02557,25,MA,Massachusetts,Northeast
02558,25,MA,Massachusetts,Northeast
02559,25,MA,Massachusetts,Northeast
02561,25,MA,Massachusetts,Northeast
02562,25,MA,Massachusetts,Northeast
02563,25,MA,Massachusetts,Northeast
02564,25,MA,Massachusetts,Northeast
02568,25,MA,Massachusetts,Northeast
02571,25,MA,Massachusetts,Northeast
02575,25,MA,Massachusetts,Northeast
02576,25,MA,Massachusetts,Northeast
02584,25,MA,Massachusetts,Northeast
02601,25,MA,Massachusetts,Northeast
02630,25,MA,Massachusetts,Northeast
02631,25,MA,Massachusetts,Northeast
02632,25,MA,Massachusetts,Northeast
02633,25,MA,Massachusetts,Northeast
02635,25,MA,Massachusetts,Northeast
02637,25,MA,Massachusetts,Northeast
02638,25,MA,Massachusetts,Northeast
02639,25,MA,Massachusetts,Northeast
02641,25,MA,Massachusetts,Northeast
02642,25,MA,Massachusetts,Northeast
02643,25,MA,Massachusetts,Northeast
02644,25,MA,Massachusetts,Northeast
02645,25,MA,Massachusetts,Northeast
02646,25,MA,Massachusetts,Northeast
02647,25,MA,Massachusetts,Northeast
02648,25,MA,Massachusetts,Northeast
02649,25,MA,Massachusetts,Northeast
02650,25,MA,Massachusetts,Northeast
02651,25,MA,Massachusetts,Northeast
02652,25,MA,Massachusetts,Northeast
02653,25,MA,Massachusetts,Northeast
02655,25,MA,Massachusetts,Northeast
02657,25,MA,Massachusetts,Northeast
02659,25,MA,Massachusetts,Northeast
02660,25,MA,Massachusetts,Northeast
02663,25,MA,Massachusetts,Northeast
02664,25,MA,Massachusetts,Northeast
02666,25,MA,Massachusetts,Northeast
02667,25,MA,Massachusetts,Northeast
02668,25,MA,Massachusetts,Northeast
02669,25,MA,Massachusetts,Northeast
02670,25,MA,Massachusetts,Northeast
02671,25,MA,Massachusetts,Northeast
02672,25,MA,Massachusetts,Northeast
02673,25,MA,Massachusetts,Northeast
02675,25,MA,Massachusetts,Northeast
02702,25,MA,Massachusetts,Northeast
02703,25,MA,Massachusetts,Northeast
02713,25,MA,Massachusetts,Northeast
02715,25,MA,Massachusetts,Northeast
02717,25,MA,Massachusetts,Northeast
02718,25,MA,Massachusetts,Northeast
02719,25,MA,Massachusetts,Northeast
02720,25,MA,Massachusetts,Northeast
02721,25,MA,Massachusetts,Northeast
02723,25,MA,Massachusetts,Northeast
02724,25,MA,Massachusetts,Northeast
02725,25,MA,Massachusetts,Northeast
02726,25,MA,Massachusetts,Northeast
02738,25,MA,Massachusetts,Northeast
02739,25,MA,Massachusetts,Northeast
02740,25,MA,Massachusetts,Northeast
02743,25,MA,Massachusetts,Northeast
02744,25,MA,Massachusetts,Northeast
02745,25,MA,Massachusetts,Northeast
02746,25,MA,Massachusetts,Northeast
02747,25,MA,Massachusetts,Northeast
02748,25,MA,Massachusetts,Northeast
